CALIFORNIA,,,,,,,,,
"Individual Income Tax Returns: 
Selected Income and Tax Items by State, 
County, and Size of Adjusted Gross Income, 
Tax Years 2004-2016                                                                                                                                                                                                                                                                                                                                                                                                          ",,,,,,,,,
[Money amounts are in thousands of dollars],,2016,2016,2015,2015,2014,2014,2012,2012
"County 
FIPS 
code [1]",Size of adjusted gross income by county,Total charitable contributions,,Contributions,,Contributions,,Contributions,
,,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount,Number of returns,Amount
,,(84),(85),(72),(73),(68),(69),(45),(46)
000,CALIFORNIA,"5,154,060","36,560,452","5,054,590","31,436,661","4,904,780","28,842,898","4,881,790","25,043,902"
000,Under $1,0,0,0,0,0,0,0,0
000,"$1 under $10,000",59050,67760,57460,65416,54570,56643,65530,71059
000,"$10,000 under $25,000",193180,357549,193250,351233,193920,340705,226300,379567
000,"$25,000 under $50,000",607920,1371706,604850,1328519,614780,1306073,688090,1381090
000,"$50,000 under $75,000",773370,2018921,773510,1979194,785630,1953514,855000,2014689
000,"$75,000 under $100,000",772270,2239499,766400,2194829,760650,2126137,790990,2137501
000,"$100,000 under $200,000",1745490,6499822,1702910,6258317,1628930,5877517,1535660,5385488
000,"$200,000 or more",1002780,24005195,956210,19259153,866300,17182309,720220,13674508
,,,,,,,,,
001,Alameda County,"248,120","1,186,152","241,780","1,127,083","233,660","1,018,988","227,460","887,070"
001,Under $1,0,0,0,0,0,0,0,0
001,"$1 under $10,000",2280,2584,2110,2246,2180,2121,2440,2478
001,"$10,000 under $25,000",6430,11578,6520,11637,6710,11714,7950,13000
001,"$25,000 under $50,000",19310,44790,19470,43743,20420,42884,23530,47223
001,"$50,000 under $75,000",28430,75002,29080,74147,29950,71924,33380,76355
001,"$75,000 under $100,000",31880,85116,32030,84171,32300,81042,34320,82464
001,"$100,000 under $200,000",91150,290847,88730,282079,85790,268254,82030,250980
001,"$200,000 or more",68640,676235,63840,629060,56310,541049,43810,414570
,,,,,,,,,
